id,sd,ed,nd
1981-1,1981-01-01,1981-01-10,10
1981-2,1981-01-11,1981-01-20,10
1981-3,1981-01-21,1981-01-31,11
1981-4,1981-02-01,1981-02-10,10
1981-5,1981-02-11,1981-02-20,10
1981-6,1981-02-21,1981-02-28,8
1981-7,1981-03-01,1981-03-10,10
1981-8,1981-03-11,1981-03-20,10
1981-9,1981-03-21,1981-03-31,11
1981-10,1981-04-01,1981-04-10,10
1981-11,1981-04-11,1981-04-20,10
1981-12,1981-04-21,1981-04-30,10
1981-13,1981-05-01,1981-05-10,10
1981-14,1981-05-11,1981-05-20,10
1981-15,1981-05-21,1981-05-31,11
1981-16,1981-06-01,1981-06-10,10
1981-17,1981-06-11,1981-06-20,10
1981-18,1981-06-21,1981-06-30,10
1981-19,1981-07-01,1981-07-10,10
1981-20,1981-07-11,1981-07-20,10
1981-21,1981-07-21,1981-07-31,11
1981-22,1981-08-01,1981-08-10,10
1981-23,1981-08-11,1981-08-20,10
1981-24,1981-08-21,1981-08-31,11
1981-25,1981-09-01,1981-09-10,10
1981-26,1981-09-11,1981-09-20,10
1981-27,1981-09-21,1981-09-30,10
1981-28,1981-10-01,1981-10-10,10
1981-29,1981-10-11,1981-10-20,10
1981-30,1981-10-21,1981-10-31,11
1981-31,1981-11-01,1981-11-10,10
1981-32,1981-11-11,1981-11-20,10
1981-33,1981-11-21,1981-11-30,10
1981-34,1981-12-01,1981-12-10,10
1981-35,1981-12-11,1981-12-20,10
1981-36,1981-12-21,1981-12-31,11
1982-1,1982-01-01,1982-01-10,10
1982-2,1982-01-11,1982-01-20,10
1982-3,1982-01-21,1982-01-31,11
1982-4,1982-02-01,1982-02-10,10
1982-5,1982-02-11,1982-02-20,10
1982-6,1982-02-21,1982-02-28,8
1982-7,1982-03-01,1982-03-10,10
1982-8,1982-03-11,1982-03-20,10
1982-9,1982-03-21,1982-03-31,11
1982-10,1982-04-01,1982-04-10,10
1982-11,1982-04-11,1982-04-20,10
1982-12,1982-04-21,1982-04-30,10
1982-13,1982-05-01,1982-05-10,10
1982-14,1982-05-11,1982-05-20,10
1982-15,1982-05-21,1982-05-31,11
1982-16,1982-06-01,1982-06-10,10
1982-17,1982-06-11,1982-06-20,10
1982-18,1982-06-21,1982-06-30,10
1982-19,1982-07-01,1982-07-10,10
1982-20,1982-07-11,1982-07-20,10
