id,sd,ed,nd
1982-21,1982-07-21,1982-07-31,11
1982-22,1982-08-01,1982-08-10,10
1982-23,1982-08-11,1982-08-20,10
1982-24,1982-08-21,1982-08-31,11
1982-25,1982-09-01,1982-09-10,10
1982-26,1982-09-11,1982-09-20,10
1982-27,1982-09-21,1982-09-30,10
1982-28,1982-10-01,1982-10-10,10
1982-29,1982-10-11,1982-10-20,10
1982-30,1982-10-21,1982-10-31,11
1982-31,1982-11-01,1982-11-10,10
1982-32,1982-11-11,1982-11-20,10
1982-33,1982-11-21,1982-11-30,10
1982-34,1982-12-01,1982-12-10,10
1982-35,1982-12-11,1982-12-20,10
1982-36,1982-12-21,1982-12-31,11
1983-1,1983-01-01,1983-01-10,10
1983-2,1983-01-11,1983-01-20,10
1983-3,1983-01-21,1983-01-31,11
1983-4,1983-02-01,1983-02-10,10
1983-5,1983-02-11,1983-02-20,10
1983-6,1983-02-21,1983-02-28,8
1983-7,1983-03-01,1983-03-10,10
1983-8,1983-03-11,1983-03-20,10
1983-9,1983-03-21,1983-03-31,11
1983-10,1983-04-01,1983-04-10,10
1983-11,1983-04-11,1983-04-20,10
1983-12,1983-04-21,1983-04-30,10
1983-13,1983-05-01,1983-05-10,10
1983-14,1983-05-11,1983-05-20,10
1983-15,1983-05-21,1983-05-31,11
1983-16,1983-06-01,1983-06-10,10
1983-17,1983-06-11,1983-06-20,10
1983-18,1983-06-21,1983-06-30,10
1983-19,1983-07-01,1983-07-10,10
1983-20,1983-07-11,1983-07-20,10
1983-21,1983-07-21,1983-07-31,11
1983-22,1983-08-01,1983-08-10,10
1983-23,1983-08-11,1983-08-20,10
1983-24,1983-08-21,1983-08-31,11
1983-25,1983-09-01,1983-09-10,10
1983-26,1983-09-11,1983-09-20,10
1983-27,1983-09-21,1983-09-30,10
1983-28,1983-10-01,1983-10-10,10
1983-29,1983-10-11,1983-10-20,10
1983-30,1983-10-21,1983-10-31,11
1983-31,1983-11-01,1983-11-10,10
1983-32,1983-11-11,1983-11-20,10
1983-33,1983-11-21,1983-11-30,10
1983-34,1983-12-01,1983-12-10,10
1983-35,1983-12-11,1983-12-20,10
1983-36,1983-12-21,1983-12-31,11
1984-1,1984-01-01,1984-01-10,10
1984-2,1984-01-11,1984-01-20,10
1984-3,1984-01-21,1984-01-31,11
1984-4,1984-02-01,1984-02-10,10
1984-5,1984-02-11,1984-02-20,10
1984-6,1984-02-21,1984-02-29,9
1984-7,1984-03-01,1984-03-10,10
1984-8,1984-03-11,1984-03-20,10
1984-9,1984-03-21,1984-03-31,11
1984-10,1984-04-01,1984-04-10,10
1984-11,1984-04-11,1984-04-20,10
1984-12,1984-04-21,1984-04-30,10
1984-13,1984-05-01,1984-05-10,10
1984-14,1984-05-11,1984-05-20,10
1984-15,1984-05-21,1984-05-31,11
1984-16,1984-06-01,1984-06-10,10
1984-17,1984-06-11,1984-06-20,10
1984-18,1984-06-21,1984-06-30,10
1984-19,1984-07-01,1984-07-10,10
1984-20,1984-07-11,1984-07-20,10
1984-21,1984-07-21,1984-07-31,11
1984-22,1984-08-01,1984-08-10,10
1984-23,1984-08-11,1984-08-20,10
1984-24,1984-08-21,1984-08-31,11
1984-25,1984-09-01,1984-09-10,10
1984-26,1984-09-11,1984-09-20,10
1984-27,1984-09-21,1984-09-30,10
1984-28,1984-10-01,1984-10-10,10
1984-29,1984-10-11,1984-10-20,10
1984-30,1984-10-21,1984-10-31,11
1984-31,1984-11-01,1984-11-10,10
1984-32,1984-11-11,1984-11-20,10
1984-33,1984-11-21,1984-11-30,10
1984-34,1984-12-01,1984-12-10,10
1984-35,1984-12-11,1984-12-20,10
1984-36,1984-12-21,1984-12-31,11
1985-1,1985-01-01,1985-01-10,10
1985-2,1985-01-11,1985-01-20,10
1985-3,1985-01-21,1985-01-31,11
1985-4,1985-02-01,1985-02-10,10
1985-5,1985-02-11,1985-02-20,10
1985-6,1985-02-21,1985-02-28,8
1985-7,1985-03-01,1985-03-10,10
1985-8,1985-03-11,1985-03-20,10
1985-9,1985-03-21,1985-03-31,11
1985-10,1985-04-01,1985-04-10,10
1985-11,1985-04-11,1985-04-20,10
1985-12,1985-04-21,1985-04-30,10
1985-13,1985-05-01,1985-05-10,10
1985-14,1985-05-11,1985-05-20,10
1985-15,1985-05-21,1985-05-31,11
1985-16,1985-06-01,1985-06-10,10
1985-17,1985-06-11,1985-06-20,10
1985-18,1985-06-21,1985-06-30,10
1985-19,1985-07-01,1985-07-10,10
1985-20,1985-07-11,1985-07-20,10
1985-21,1985-07-21,1985-07-31,11
1985-22,1985-08-01,1985-08-10,10
1985-23,1985-08-11,1985-08-20,10
1985-24,1985-08-21,1985-08-31,11
1985-25,1985-09-01,1985-09-10,10
1985-26,1985-09-11,1985-09-20,10
1985-27,1985-09-21,1985-09-30,10
1985-28,1985-10-01,1985-10-10,10
1985-29,1985-10-11,1985-10-20,10
1985-30,1985-10-21,1985-10-31,11
1985-31,1985-11-01,1985-11-10,10
1985-32,1985-11-11,1985-11-20,10
1985-33,1985-11-21,1985-11-30,10
1985-34,1985-12-01,1985-12-10,10
1985-35,1985-12-11,1985-12-20,10
1985-36,1985-12-21,1985-12-31,11
1986-1,1986-01-01,1986-01-10,10
1986-2,1986-01-11,1986-01-20,10
1986-3,1986-01-21,1986-01-31,11
1986-4,1986-02-01,1986-02-10,10
1986-5,1986-02-11,1986-02-20,10
1986-6,1986-02-21,1986-02-28,8
1986-7,1986-03-01,1986-03-10,10
1986-8,1986-03-11,1986-03-20,10
1986-9,1986-03-21,1986-03-31,11
1986-10,1986-04-01,1986-04-10,10
1986-11,1986-04-11,1986-04-20,10
1986-12,1986-04-21,1986-04-30,10
1986-13,1986-05-01,1986-05-10,10
1986-14,1986-05-11,1986-05-20,10
1986-15,1986-05-21,1986-05-31,11
1986-16,1986-06-01,1986-06-10,10
1986-17,1986-06-11,1986-06-20,10
1986-18,1986-06-21,1986-06-30,10
1986-19,1986-07-01,1986-07-10,10
1986-20,1986-07-11,1986-07-20,10
1986-21,1986-07-21,1986-07-31,11
1986-22,1986-08-01,1986-08-10,10
1986-23,1986-08-11,1986-08-20,10
1986-24,1986-08-21,1986-08-31,11
1986-25,1986-09-01,1986-09-10,10
1986-26,1986-09-11,1986-09-20,10
1986-27,1986-09-21,1986-09-30,10
1986-28,1986-10-01,1986-10-10,10
1986-29,1986-10-11,1986-10-20,10
1986-30,1986-10-21,1986-10-31,11
1986-31,1986-11-01,1986-11-10,10
1986-32,1986-11-11,1986-11-20,10
1986-33,1986-11-21,1986-11-30,10
1986-34,1986-12-01,1986-12-10,10
1986-35,1986-12-11,1986-12-20,10
1986-36,1986-12-21,1986-12-31,11
1987-1,1987-01-01,1987-01-10,10
1987-2,1987-01-11,1987-01-20,10
1987-3,1987-01-21,1987-01-31,11
1987-4,1987-02-01,1987-02-10,10
1987-5,1987-02-11,1987-02-20,10
1987-6,1987-02-21,1987-02-28,8
1987-7,1987-03-01,1987-03-10,10
1987-8,1987-03-11,1987-03-20,10
1987-9,1987-03-21,1987-03-31,11
1987-10,1987-04-01,1987-04-10,10
1987-11,1987-04-11,1987-04-20,10
1987-12,1987-04-21,1987-04-30,10
1987-13,1987-05-01,1987-05-10,10
1987-14,1987-05-11,1987-05-20,10
1987-15,1987-05-21,1987-05-31,11
1987-16,1987-06-01,1987-06-10,10
1987-17,1987-06-11,1987-06-20,10
1987-18,1987-06-21,1987-06-30,10
1987-19,1987-07-01,1987-07-10,10
1987-20,1987-07-11,1987-07-20,10
1987-21,1987-07-21,1987-07-31,11
1987-22,1987-08-01,1987-08-10,10
1987-23,1987-08-11,1987-08-20,10
1987-24,1987-08-21,1987-08-31,11
1987-25,1987-09-01,1987-09-10,10
1987-26,1987-09-11,1987-09-20,10
1987-27,1987-09-21,1987-09-30,10
1987-28,1987-10-01,1987-10-10,10
1987-29,1987-10-11,1987-10-20,10
1987-30,1987-10-21,1987-10-31,11
1987-31,1987-11-01,1987-11-10,10
1987-32,1987-11-11,1987-11-20,10
1987-33,1987-11-21,1987-11-30,10
1987-34,1987-12-01,1987-12-10,10
1987-35,1987-12-11,1987-12-20,10
1987-36,1987-12-21,1987-12-31,11
1988-1,1988-01-01,1988-01-10,10
1988-2,1988-01-11,1988-01-20,10
1988-3,1988-01-21,1988-01-31,11
1988-4,1988-02-01,1988-02-10,10
1988-5,1988-02-11,1988-02-20,10
1988-6,1988-02-21,1988-02-29,9
1988-7,1988-03-01,1988-03-10,10
1988-8,1988-03-11,1988-03-20,10
1988-9,1988-03-21,1988-03-31,11
1988-10,1988-04-01,1988-04-10,10
1988-11,1988-04-11,1988-04-20,10
1988-12,1988-04-21,1988-04-30,10
1988-13,1988-05-01,1988-05-10,10
1988-14,1988-05-11,1988-05-20,10
1988-15,1988-05-21,1988-05-31,11
1988-16,1988-06-01,1988-06-10,10
1988-17,1988-06-11,1988-06-20,10
1988-18,1988-06-21,1988-06-30,10
1988-19,1988-07-01,1988-07-10,10
1988-20,1988-07-11,1988-07-20,10
1988-21,1988-07-21,1988-07-31,11
1988-22,1988-08-01,1988-08-10,10
1988-23,1988-08-11,1988-08-20,10
1988-24,1988-08-21,1988-08-31,11
1988-25,1988-09-01,1988-09-10,10
1988-26,1988-09-11,1988-09-20,10
1988-27,1988-09-21,1988-09-30,10
1988-28,1988-10-01,1988-10-10,10
1988-29,1988-10-11,1988-10-20,10
1988-30,1988-10-21,1988-10-31,11
1988-31,1988-11-01,1988-11-10,10
1988-32,1988-11-11,1988-11-20,10
1988-33,1988-11-21,1988-11-30,10
1988-34,1988-12-01,1988-12-10,10
1988-35,1988-12-11,1988-12-20,10
1988-36,1988-12-21,1988-12-31,11
1989-1,1989-01-01,1989-01-10,10
1989-2,1989-01-11,1989-01-20,10
1989-3,1989-01-21,1989-01-31,11
1989-4,1989-02-01,1989-02-10,10
1989-5,1989-02-11,1989-02-20,10
1989-6,1989-02-21,1989-02-28,8
1989-7,1989-03-01,1989-03-10,10
1989-8,1989-03-11,1989-03-20,10
1989-9,1989-03-21,1989-03-31,11
1989-10,1989-04-01,1989-04-10,10
1989-11,1989-04-11,1989-04-20,10
1989-12,1989-04-21,1989-04-30,10
1989-13,1989-05-01,1989-05-10,10
1989-14,1989-05-11,1989-05-20,10
1989-15,1989-05-21,1989-05-31,11
1989-16,1989-06-01,1989-06-10,10
1989-17,1989-06-11,1989-06-20,10
1989-18,1989-06-21,1989-06-30,10
1989-19,1989-07-01,1989-07-10,10
1989-20,1989-07-11,1989-07-20,10
1989-21,1989-07-21,1989-07-31,11
1989-22,1989-08-01,1989-08-10,10
1989-23,1989-08-11,1989-08-20,10
1989-24,1989-08-21,1989-08-31,11
1989-25,1989-09-01,1989-09-10,10
1989-26,1989-09-11,1989-09-20,10
1989-27,1989-09-21,1989-09-30,10
1989-28,1989-10-01,1989-10-10,10
1989-29,1989-10-11,1989-10-20,10
1989-30,1989-10-21,1989-10-31,11
1989-31,1989-11-01,1989-11-10,10
1989-32,1989-11-11,1989-11-20,10
1989-33,1989-11-21,1989-11-30,10
1989-34,1989-12-01,1989-12-10,10
1989-35,1989-12-11,1989-12-20,10
1989-36,1989-12-21,1989-12-31,11
1990-1,1990-01-01,1990-01-10,10
1990-2,1990-01-11,1990-01-20,10
1990-3,1990-01-21,1990-01-31,11
1990-4,1990-02-01,1990-02-10,10
1990-5,1990-02-11,1990-02-20,10
1990-6,1990-02-21,1990-02-28,8
1990-7,1990-03-01,1990-03-10,10
1990-8,1990-03-11,1990-03-20,10
1990-9,1990-03-21,1990-03-31,11
1990-10,1990-04-01,1990-04-10,10
1990-11,1990-04-11,1990-04-20,10
1990-12,1990-04-21,1990-04-30,10
1990-13,1990-05-01,1990-05-10,10
1990-14,1990-05-11,1990-05-20,10
1990-15,1990-05-21,1990-05-31,11
1990-16,1990-06-01,1990-06-10,10
1990-17,1990-06-11,1990-06-20,10
1990-18,1990-06-21,1990-06-30,10
1990-19,1990-07-01,1990-07-10,10
1990-20,1990-07-11,1990-07-20,10
1990-21,1990-07-21,1990-07-31,11
1990-22,1990-08-01,1990-08-10,10
1990-23,1990-08-11,1990-08-20,10
1990-24,1990-08-21,1990-08-31,11
1990-25,1990-09-01,1990-09-10,10
1990-26,1990-09-11,1990-09-20,10
1990-27,1990-09-21,1990-09-30,10
1990-28,1990-10-01,1990-10-10,10
1990-29,1990-10-11,1990-10-20,10
1990-30,1990-10-21,1990-10-31,11
1990-31,1990-11-01,1990-11-10,10
1990-32,1990-11-11,1990-11-20,10
1990-33,1990-11-21,1990-11-30,10
1990-34,1990-12-01,1990-12-10,10
1990-35,1990-12-11,1990-12-20,10
1990-36,1990-12-21,1990-12-31,11
1991-1,1991-01-01,1991-01-10,10
1991-2,1991-01-11,1991-01-20,10
1991-3,1991-01-21,1991-01-31,11
1991-4,1991-02-01,1991-02-10,10
1991-5,1991-02-11,1991-02-20,10
1991-6,1991-02-21,1991-02-28,8
1991-7,1991-03-01,1991-03-10,10
1991-8,1991-03-11,1991-03-20,10
1991-9,1991-03-21,1991-03-31,11
1991-10,1991-04-01,1991-04-10,10
1991-11,1991-04-11,1991-04-20,10
1991-12,1991-04-21,1991-04-30,10
1991-13,1991-05-01,1991-05-10,10
1991-14,1991-05-11,1991-05-20,10
1991-15,1991-05-21,1991-05-31,11
1991-16,1991-06-01,1991-06-10,10
1991-17,1991-06-11,1991-06-20,10
1991-18,1991-06-21,1991-06-30,10
1991-19,1991-07-01,1991-07-10,10
1991-20,1991-07-11,1991-07-20,10
1991-21,1991-07-21,1991-07-31,11
1991-22,1991-08-01,1991-08-10,10
1991-23,1991-08-11,1991-08-20,10
1991-24,1991-08-21,1991-08-31,11
1991-25,1991-09-01,1991-09-10,10
1991-26,1991-09-11,1991-09-20,10
1991-27,1991-09-21,1991-09-30,10
1991-28,1991-10-01,1991-10-10,10
1991-29,1991-10-11,1991-10-20,10
1991-30,1991-10-21,1991-10-31,11
1991-31,1991-11-01,1991-11-10,10
1991-32,1991-11-11,1991-11-20,10
1991-33,1991-11-21,1991-11-30,10
1991-34,1991-12-01,1991-12-10,10
1991-35,1991-12-11,1991-12-20,10
1991-36,1991-12-21,1991-12-31,11
1992-1,1992-01-01,1992-01-10,10
1992-2,1992-01-11,1992-01-20,10
1992-3,1992-01-21,1992-01-31,11
1992-4,1992-02-01,1992-02-10,10
1992-5,1992-02-11,1992-02-20,10
1992-6,1992-02-21,1992-02-29,9
1992-7,1992-03-01,1992-03-10,10
1992-8,1992-03-11,1992-03-20,10
1992-9,1992-03-21,1992-03-31,11
1992-10,1992-04-01,1992-04-10,10
1992-11,1992-04-11,1992-04-20,10
1992-12,1992-04-21,1992-04-30,10
1992-13,1992-05-01,1992-05-10,10
1992-14,1992-05-11,1992-05-20,10
1992-15,1992-05-21,1992-05-31,11
1992-16,1992-06-01,1992-06-10,10
1992-17,1992-06-11,1992-06-20,10
1992-18,1992-06-21,1992-06-30,10
1992-19,1992-07-01,1992-07-10,10
1992-20,1992-07-11,1992-07-20,10
1992-21,1992-07-21,1992-07-31,11
1992-22,1992-08-01,1992-08-10,10
1992-23,1992-08-11,1992-08-20,10
1992-24,1992-08-21,1992-08-31,11
1992-25,1992-09-01,1992-09-10,10
1992-26,1992-09-11,1992-09-20,10
1992-27,1992-09-21,1992-09-30,10
1992-28,1992-10-01,1992-10-10,10
1992-29,1992-10-11,1992-10-20,10
1992-30,1992-10-21,1992-10-31,11
1992-31,1992-11-01,1992-11-10,10
1992-32,1992-11-11,1992-11-20,10
1992-33,1992-11-21,1992-11-30,10
1992-34,1992-12-01,1992-12-10,10
1992-35,1992-12-11,1992-12-20,10
1992-36,1992-12-21,1992-12-31,11
1993-1,1993-01-01,1993-01-10,10
1993-2,1993-01-11,1993-01-20,10
1993-3,1993-01-21,1993-01-31,11
1993-4,1993-02-01,1993-02-10,10
1993-5,1993-02-11,1993-02-20,10
1993-6,1993-02-21,1993-02-28,8
1993-7,1993-03-01,1993-03-10,10
1993-8,1993-03-11,1993-03-20,10
1993-9,1993-03-21,1993-03-31,11
1993-10,1993-04-01,1993-04-10,10
1993-11,1993-04-11,1993-04-20,10
1993-12,1993-04-21,1993-04-30,10
1993-13,1993-05-01,1993-05-10,10
1993-14,1993-05-11,1993-05-20,10
1993-15,1993-05-21,1993-05-31,11
1993-16,1993-06-01,1993-06-10,10
1993-17,1993-06-11,1993-06-20,10
1993-18,1993-06-21,1993-06-30,10
1993-19,1993-07-01,1993-07-10,10
1993-20,1993-07-11,1993-07-20,10
1993-21,1993-07-21,1993-07-31,11
1993-22,1993-08-01,1993-08-10,10
1993-23,1993-08-11,1993-08-20,10
1993-24,1993-08-21,1993-08-31,11
1993-25,1993-09-01,1993-09-10,10
1993-26,1993-09-11,1993-09-20,10
1993-27,1993-09-21,1993-09-30,10
1993-28,1993-10-01,1993-10-10,10
1993-29,1993-10-11,1993-10-20,10
1993-30,1993-10-21,1993-10-31,11
1993-31,1993-11-01,1993-11-10,10
1993-32,1993-11-11,1993-11-20,10
1993-33,1993-11-21,1993-11-30,10
1993-34,1993-12-01,1993-12-10,10
1993-35,1993-12-11,1993-12-20,10
1993-36,1993-12-21,1993-12-31,11
1994-1,1994-01-01,1994-01-10,10
1994-2,1994-01-11,1994-01-20,10
1994-3,1994-01-21,1994-01-31,11
1994-4,1994-02-01,1994-02-10,10
1994-5,1994-02-11,1994-02-20,10
1994-6,1994-02-21,1994-02-28,8
1994-7,1994-03-01,1994-03-10,10
1994-8,1994-03-11,1994-03-20,10
1994-9,1994-03-21,1994-03-31,11
1994-10,1994-04-01,1994-04-10,10
1994-11,1994-04-11,1994-04-20,10
1994-12,1994-04-21,1994-04-30,10
1994-13,1994-05-01,1994-05-10,10
1994-14,1994-05-11,1994-05-20,10
1994-15,1994-05-21,1994-05-31,11
1994-16,1994-06-01,1994-06-10,10
1994-17,1994-06-11,1994-06-20,10
1994-18,1994-06-21,1994-06-30,10
1994-19,1994-07-01,1994-07-10,10
1994-20,1994-07-11,1994-07-20,10
1994-21,1994-07-21,1994-07-31,11
1994-22,1994-08-01,1994-08-10,10
1994-23,1994-08-11,1994-08-20,10
1994-24,1994-08-21,1994-08-31,11
1994-25,1994-09-01,1994-09-10,10
1994-26,1994-09-11,1994-09-20,10
1994-27,1994-09-21,1994-09-30,10
1994-28,1994-10-01,1994-10-10,10
1994-29,1994-10-11,1994-10-20,10
1994-30,1994-10-21,1994-10-31,11
1994-31,1994-11-01,1994-11-10,10
1994-32,1994-11-11,1994-11-20,10
1994-33,1994-11-21,1994-11-30,10
1994-34,1994-12-01,1994-12-10,10
1994-35,1994-12-11,1994-12-20,10
1994-36,1994-12-21,1994-12-31,11
1995-1,1995-01-01,1995-01-10,10
1995-2,1995-01-11,1995-01-20,10
1995-3,1995-01-21,1995-01-31,11
1995-4,1995-02-01,1995-02-10,10
1995-5,1995-02-11,1995-02-20,10
1995-6,1995-02-21,1995-02-28,8
1995-7,1995-03-01,1995-03-10,10
1995-8,1995-03-11,1995-03-20,10
1995-9,1995-03-21,1995-03-31,11
1995-10,1995-04-01,1995-04-10,10
1995-11,1995-04-11,1995-04-20,10
1995-12,1995-04-21,1995-04-30,10
1995-13,1995-05-01,1995-05-10,10
1995-14,1995-05-11,1995-05-20,10
1995-15,1995-05-21,1995-05-31,11
1995-16,1995-06-01,1995-06-10,10
1995-17,1995-06-11,1995-06-20,10
1995-18,1995-06-21,1995-06-30,10
1995-19,1995-07-01,1995-07-10,10
1995-20,1995-07-11,1995-07-20,10
1995-21,1995-07-21,1995-07-31,11
1995-22,1995-08-01,1995-08-10,10
1995-23,1995-08-11,1995-08-20,10
1995-24,1995-08-21,1995-08-31,11
1995-25,1995-09-01,1995-09-10,10
1995-26,1995-09-11,1995-09-20,10
1995-27,1995-09-21,1995-09-30,10
1995-28,1995-10-01,1995-10-10,10
1995-29,1995-10-11,1995-10-20,10
1995-30,1995-10-21,1995-10-31,11
1995-31,1995-11-01,1995-11-10,10
1995-32,1995-11-11,1995-11-20,10
1995-33,1995-11-21,1995-11-30,10
1995-34,1995-12-01,1995-12-10,10
1995-35,1995-12-11,1995-12-20,10
1995-36,1995-12-21,1995-12-31,11
1996-1,1996-01-01,1996-01-10,10
1996-2,1996-01-11,1996-01-20,10
1996-3,1996-01-21,1996-01-31,11
1996-4,1996-02-01,1996-02-10,10
1996-5,1996-02-11,1996-02-20,10
1996-6,1996-02-21,1996-02-29,9
1996-7,1996-03-01,1996-03-10,10
1996-8,1996-03-11,1996-03-20,10
1996-9,1996-03-21,1996-03-31,11
1996-10,1996-04-01,1996-04-10,10
1996-11,1996-04-11,1996-04-20,10
1996-12,1996-04-21,1996-04-30,10
1996-13,1996-05-01,1996-05-10,10
1996-14,1996-05-11,1996-05-20,10
1996-15,1996-05-21,1996-05-31,11
1996-16,1996-06-01,1996-06-10,10
1996-17,1996-06-11,1996-06-20,10
1996-18,1996-06-21,1996-06-30,10
1996-19,1996-07-01,1996-07-10,10
1996-20,1996-07-11,1996-07-20,10
1996-21,1996-07-21,1996-07-31,11
1996-22,1996-08-01,1996-08-10,10
1996-23,1996-08-11,1996-08-20,10
1996-24,1996-08-21,1996-08-31,11
1996-25,1996-09-01,1996-09-10,10
1996-26,1996-09-11,1996-09-20,10
1996-27,1996-09-21,1996-09-30,10
1996-28,1996-10-01,1996-10-10,10
1996-29,1996-10-11,1996-10-20,10
1996-30,1996-10-21,1996-10-31,11
1996-31,1996-11-01,1996-11-10,10
1996-32,1996-11-11,1996-11-20,10
1996-33,1996-11-21,1996-11-30,10
1996-34,1996-12-01,1996-12-10,10
1996-35,1996-12-11,1996-12-20,10
1996-36,1996-12-21,1996-12-31,11
1997-1,1997-01-01,1997-01-10,10
1997-2,1997-01-11,1997-01-20,10
1997-3,1997-01-21,1997-01-31,11
1997-4,1997-02-01,1997-02-10,10
1997-5,1997-02-11,1997-02-20,10
1997-6,1997-02-21,1997-02-28,8
1997-7,1997-03-01,1997-03-10,10
1997-8,1997-03-11,1997-03-20,10
1997-9,1997-03-21,1997-03-31,11
1997-10,1997-04-01,1997-04-10,10
1997-11,1997-04-11,1997-04-20,10
1997-12,1997-04-21,1997-04-30,10
1997-13,1997-05-01,1997-05-10,10
1997-14,1997-05-11,1997-05-20,10
1997-15,1997-05-21,1997-05-31,11
1997-16,1997-06-01,1997-06-10,10
1997-17,1997-06-11,1997-06-20,10
1997-18,1997-06-21,1997-06-30,10
1997-19,1997-07-01,1997-07-10,10
1997-20,1997-07-11,1997-07-20,10
1997-21,1997-07-21,1997-07-31,11
1997-22,1997-08-01,1997-08-10,10
1997-23,1997-08-11,1997-08-20,10
1997-24,1997-08-21,1997-08-31,11
1997-25,1997-09-01,1997-09-10,10
1997-26,1997-09-11,1997-09-20,10
1997-27,1997-09-21,1997-09-30,10
1997-28,1997-10-01,1997-10-10,10
1997-29,1997-10-11,1997-10-20,10
1997-30,1997-10-21,1997-10-31,11
1997-31,1997-11-01,1997-11-10,10
1997-32,1997-11-11,1997-11-20,10
1997-33,1997-11-21,1997-11-30,10
1997-34,1997-12-01,1997-12-10,10
1997-35,1997-12-11,1997-12-20,10
1997-36,1997-12-21,1997-12-31,11
1998-1,1998-01-01,1998-01-10,10
1998-2,1998-01-11,1998-01-20,10
1998-3,1998-01-21,1998-01-31,11
1998-4,1998-02-01,1998-02-10,10
1998-5,1998-02-11,1998-02-20,10
1998-6,1998-02-21,1998-02-28,8
1998-7,1998-03-01,1998-03-10,10
1998-8,1998-03-11,1998-03-20,10
1998-9,1998-03-21,1998-03-31,11
1998-10,1998-04-01,1998-04-10,10
1998-11,1998-04-11,1998-04-20,10
1998-12,1998-04-21,1998-04-30,10
1998-13,1998-05-01,1998-05-10,10
1998-14,1998-05-11,1998-05-20,10
1998-15,1998-05-21,1998-05-31,11
1998-16,1998-06-01,1998-06-10,10
1998-17,1998-06-11,1998-06-20,10
1998-18,1998-06-21,1998-06-30,10
1998-19,1998-07-01,1998-07-10,10
1998-20,1998-07-11,1998-07-20,10
1998-21,1998-07-21,1998-07-31,11
1998-22,1998-08-01,1998-08-10,10
1998-23,1998-08-11,1998-08-20,10
1998-24,1998-08-21,1998-08-31,11
1998-25,1998-09-01,1998-09-10,10
1998-26,1998-09-11,1998-09-20,10
1998-27,1998-09-21,1998-09-30,10
1998-28,1998-10-01,1998-10-10,10
1998-29,1998-10-11,1998-10-20,10
1998-30,1998-10-21,1998-10-31,11
1998-31,1998-11-01,1998-11-10,10
1998-32,1998-11-11,1998-11-20,10
1998-33,1998-11-21,1998-11-30,10
1998-34,1998-12-01,1998-12-10,10
1998-35,1998-12-11,1998-12-20,10
1998-36,1998-12-21,1998-12-31,11
1999-1,1999-01-01,1999-01-10,10
1999-2,1999-01-11,1999-01-20,10
1999-3,1999-01-21,1999-01-31,11
1999-4,1999-02-01,1999-02-10,10
1999-5,1999-02-11,1999-02-20,10
1999-6,1999-02-21,1999-02-28,8
1999-7,1999-03-01,1999-03-10,10
1999-8,1999-03-11,1999-03-20,10
1999-9,1999-03-21,1999-03-31,11
1999-10,1999-04-01,1999-04-10,10
1999-11,1999-04-11,1999-04-20,10
1999-12,1999-04-21,1999-04-30,10
1999-13,1999-05-01,1999-05-10,10
1999-14,1999-05-11,1999-05-20,10
1999-15,1999-05-21,1999-05-31,11
1999-16,1999-06-01,1999-06-10,10
1999-17,1999-06-11,1999-06-20,10
